	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G3-PF1	0.0	0.47146510297404104	0.5250222507829555	0.5777719014773872	0.6311901990052757	0.4466300069726383	0.7136091454567806	0.6680809176168533	0.6084111786534854	0.5123918674551169	0.5836196038196426	0.6814115334758258	0.510194964852007	0.517762521534827	0.43159320969933945	0.3610368020695963	0.5223960383279503	0.5363379664326456	0.2670138777517301	0.5910084904509532	0.5392075919770205	0.37166597347201635	0.3932523617414446	0.38920018189721645
G3-PF10	0.47146510297404104	0.0	0.4065678247166691	0.5087674675001037	0.5836715306360943	0.5285562838907997	0.5558294767634799	0.6508140564529039	0.6590337414440425	0.5230815920963022	0.5169713906599299	0.6348023166164051	0.4644798980561986	0.6084008337891508	0.6376236023113275	0.5102762830855431	0.5555671795789018	0.5517872204539382	0.4821766241050317	0.6034541161101128	0.5787967639433406	0.6021793557641991	0.5486870369179109	0.5583874984398506
G3-PF11	0.5250222507829555	0.4065678247166691	0.0	0.4492943541983727	0.5290147268028166	0.5507897056513475	0.49052732287259543	0.5797279248162831	0.5752422071345936	0.4804572141815459	0.5304107873719389	0.5857328900591275	0.5448722634331258	0.6106516800160233	0.6858950873048799	0.5531430332885117	0.5502003373155806	0.4937820306264591	0.45078695877526276	0.5228970980690826	0.582150946024219	0.6312547983433523	0.6354030273507053	0.5730861015490128
G3-PF12	0.5777719014773872	0.5087674675001037	0.4492943541983727	0.0	0.5976009595925379	0.6095760649882324	0.5474359804397072	0.6639572834482564	0.6858354893511047	0.5865669865166394	0.5266591498661731	0.6445772852855488	0.590255551151093	0.6136363779467638	0.7093634657868836	0.5948814466936913	0.5493555780845533	0.5708497981230287	0.5296581589277622	0.6334325369116792	0.5452391250030229	0.6774568617359111	0.649659223860919	0.6318058757393393
G3-PF13	0.6311901990052757	0.5836715306360943	0.5290147268028166	0.5976009595925379	0.0	0.6420161003143718	0.5845642677759366	0.6063647145606387	0.6756772437313328	0.5143170728523159	0.6190618332084892	0.6041557289129399	0.6371336041929243	0.7148171699367735	0.7481510501560817	0.6633626688245154	0.6474661420992033	0.6081062607639082	0.5532484520748889	0.617749720458636	0.6839803053069258	0.7270906103099103	0.6883925462595777	0.6636764208811935
G3-PF14	0.4466300069726383	0.5285562838907997	0.5507897056513475	0.6095760649882324	0.6420161003143718	0.0	0.7423542913699861	0.6902677556969374	0.5645833185288762	0.4852839254528259	0.5686378774086006	0.6826041212308539	0.5114867904137607	0.546105615323334	0.3738884559028015	0.3953958689661119	0.47962220856863874	0.5470171036069994	0.47329329800015857	0.46793145016478116	0.5400473686475209	0.3330992851252872	0.40484797962647984	0.255592517448568
G3-PF2	0.7136091454567806	0.5558294767634799	0.49052732287259543	0.5474359804397072	0.5845642677759366	0.7423542913699861	0.0	0.6402897668358355	0.7222059410448428	0.5975142105439379	0.5992103236181333	0.5729882946173113	0.6787089972863095	0.6929335101206971	0.7808059621205126	0.6966069124322736	0.618673283252967	0.6418103244543435	0.6191808511063078	0.6620636942124857	0.6332678172378624	0.7790069239349714	0.7585759555335692	0.7406297774690139
G3-PF3	0.6680809176168533	0.6508140564529039	0.5797279248162831	0.6639572834482564	0.6063647145606387	0.6902677556969374	0.6402897668358355	0.0	0.44167127252977695	0.6252418242854642	0.6516883966471426	0.6638097356919216	0.6058034368870828	0.6805048930717996	0.7425561108031312	0.6381339653788437	0.6703525446679919	0.5830540212725572	0.6224232801387654	0.6210188860842558	0.6397976513243264	0.7237273571291172	0.7072314654949986	0.6558331192174262
G3-PF4	0.6084111786534854	0.6590337414440425	0.5752422071345936	0.6858354893511047	0.6756772437313328	0.5645833185288762	0.7222059410448428	0.44167127252977695	0.0	0.5700283376932231	0.6941664620477133	0.6921783469965184	0.569515757377672	0.6152994705054585	0.6030007301107884	0.5565880874252642	0.6596793238687003	0.5822642157841141	0.5579258225748989	0.5030687589123348	0.576141355366168	0.5548485284394534	0.5802766329202331	0.49469502794438414
G3-PF5	0.5123918674551169	0.5230815920963022	0.4804572141815459	0.5865669865166394	0.5143170728523159	0.4852839254528259	0.5975142105439379	0.6252418242854642	0.5700283376932231	0.0	0.5361850327350033	0.5259061565227562	0.5481918702773302	0.5437760238019935	0.618570639332106	0.43492374806088197	0.5238534036454338	0.5632182793278108	0.43096363946076577	0.5059116308886262	0.5700788739423618	0.555132340258561	0.5662766090984123	0.5168428901369129
G3-PF6	0.5836196038196426	0.5169713906599299	0.5304107873719389	0.5266591498661731	0.6190618332084892	0.5686378774086006	0.5992103236181333	0.6516883966471426	0.6941664620477133	0.5361850327350033	0.0	0.617184763702663	0.5573158505699211	0.5391530986709968	0.6976786210507091	0.5280629765577266	0.46134858533308704	0.5378939285429293	0.5880369005167185	0.5754252129447204	0.5579194743650754	0.6640019486480478	0.647987672337113	0.6109967354072902
G3-PF7	0.6814115334758258	0.6348023166164051	0.5857328900591275	0.6445772852855488	0.6041557289129399	0.6826041212308539	0.5729882946173113	0.6638097356919216	0.6921783469965184	0.5259061565227562	0.617184763702663	0.0	0.6086960957953446	0.634506141450385	0.6837112842601278	0.5479871550549356	0.5879970157367773	0.6602942432678768	0.6040751440175791	0.5924759748771086	0.5837555623376672	0.6832999057408954	0.6947792426867707	0.6601551471630098
G3-PF8	0.510194964852007	0.4644798980561986	0.5448722634331258	0.590255551151093	0.6371336041929243	0.5114867904137607	0.6787089972863095	0.6058034368870828	0.569515757377672	0.5481918702773302	0.5573158505699211	0.6086960957953446	0.0	0.5030702338349238	0.547242012141156	0.4026215197103045	0.4285828824758588	0.4681487621989304	0.5247554047377542	0.4935018959757508	0.4748285044501333	0.5177660629285012	0.5134776789425715	0.43832424038428114
