	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-A1	0.0	0.10784944026032053	0.05744202276289403	0.03953341670114625	0.0983487438374168	0.028311006588306514	0.16920685794594237	0.033243949275031506	0.009355838983719385	0.10160827021137335	0.10356298225906742	0.026661482006470203	0.010852992813564994	0.10264028642489938	0.006514639558873832	0.03382112888334959	0.016642509356823796	0.1130335967075969	0.00938531933741603	0.10737239138619414	0.03334930451800181	0.019765873594889023	0.01612476765585228	0.006312298992449964	0.03830134554052475	0.030634052377949993	0.11562668414816768	0.01731032547619583	0.038265594865708574	0.038092598974193585	0.03687322051110055	0.03168231877498706	0.2058261485569846	0.19053669279594204	0.17624496600881903	0.1971589655575451	0.22023013244243414	0.21294331265209487	0.14455982613205043	0.16711936105682643	0.16240549010477465	0.14359507678205424	0.20417301133074867	0.17969655903627493	0.1879043956505186	0.2092335542516968	0.19092372475021765	0.22139905239019422	0.22227861526190604	0.1998625274427235
G4-A10	0.10784944026032053	0.0	0.07735013095060393	0.10464735599054509	0.11301681454313829	0.10467628306352113	0.1690128301293669	0.10993129821760912	0.10876062517261827	0.03624360110801421	0.019729812863549585	0.10217379545875127	0.11040110313185719	0.10919328672039705	0.1093543410993844	0.10557772559308297	0.11103795321877488	0.014552631168881036	0.10927938053013339	0.03590467345390929	0.11096436365095179	0.10748621558045207	0.11156918794518485	0.10916056705382016	0.07461338966733033	0.10595758811328876	0.02410808827362308	0.10586230250396521	0.10569628062973684	0.10547431664728373	0.10630388321432815	0.08278879252287757	0.24183105252316156	0.2263415146798917	0.2120497878927687	0.23316386952372206	0.1530157514361254	0.24874813453604455	0.18036464801600008	0.20312426502300335	0.17472961540739806	0.17939989866600387	0.24017791529692561	0.12520921329459184	0.22390929961669562	0.14270672129138043	0.20567053946269362	0.2572038742741439	0.25808343714585563	0.2356673493266732
G4-A11	0.05744202276289403	0.07735013095060393	0.0	0.09677535609609869	0.1091207263539188	0.08306216612895456	0.1954708604507729	0.047932699340248394	0.06642713653739754	0.1030272072939339	0.08919396809705792	0.08021201134983175	0.05471261861597437	0.13328983855890209	0.05282197211068986	0.09077258134706948	0.04963124780103873	0.0912310982164228	0.0484596585710454	0.09929248091027333	0.08452276038700889	0.04548082562547191	0.0502946286136664	0.05267763304663452	0.05521819971521314	0.0880257250893147	0.09947002652787354	0.04235661484273518	0.09292471476300482	0.09553462045137333	0.09033901907447367	0.06606360062677774	0.26270763798602237	0.24721810014275256	0.2329263733556295	0.25404045498658284	0.23030918439718234	0.26962471999890536	0.20124123347886094	0.2240008504858642	0.19560620087025887	0.2002764841288647	0.2610545007597864	0.1900902844142491	0.24478588507955643	0.21931260620644485	0.22597416822056082	0.27808045973700474	0.2789600226087165	0.25654393478953397
G4-A2	0.03953341670114625	0.10464735599054509	0.09677535609609869	0.0	0.09457138068447674	0.02464450775787836	0.16554408567685816	0.0721897992102105	0.03211297535525442	0.09762019567996302	0.1003608979035777	0.017212695935736037	0.04979691639705649	0.09885229460428771	0.04474168909165231	0.0076430567692955115	0.054624023646554234	0.10912487159928	0.048591302756003305	0.1035808141416211	0.028660293179118897	0.058045838127937885	0.05425455044285431	0.04530265384869014	0.046390482502862346	0.009403247632655992	0.11163860975961445	0.05609717012149792	0.009860155650640374	0.0027528760546670157	0.03575535894256662	0.03229437328515532	0.16775407597608433	0.1522645381328145	0.13797281134569148	0.15965272155848415	0.18252380636114593	0.17467115798896726	0.10628767146892289	0.12961311705776546	0.12469916402348638	0.10532292211892667	0.16666676733168773	0.14192293524155028	0.15039815165145767	0.17152722817040847	0.15321739866892936	0.18312689772706667	0.18400646059877845	0.16159037277959598
G4-A4	0.0983487438374168	0.11301681454313829	0.1091207263539188	0.09457138068447674	0.0	0.08865672346139696	0.08767523699786639	0.10223886461322661	0.09807342963822631	0.13897261155499674	0.12602573663783387	0.09625525433231652	0.10160684144118605	0.03967740307949636	0.09937769378672084	0.09454369872360135	0.10168837485260283	0.12736695821463412	0.09966409239480237	0.13803029673790804	0.10114013300253002	0.1002728419694029	0.10067348835493183	0.09990431743193644	0.09477188082981468	0.09556077232172507	0.13695447808222655	0.10016448518091822	0.09725990327971308	0.09503930334205378	0.06882057412609402	0.09439005541650723	0.25919612620407945	0.24324590104721508	0.22895417426009207	0.2513486682888246	0.26517760402243257	0.26565252090336794	0.19726903438332347	0.22130906378810586	0.2137665790477065	0.19630428503332725	0.258003676291438	0.22472952135750188	0.241735060611208	0.2541810258316951	0.24249509622963913	0.2741082606414673	0.2749878235131791	0.25257173569399655
G4-A5	0.028311006588306514	0.10467628306352113	0.08306216612895456	0.02464450775787836	0.08865672346139696	0.0	0.15925181299587987	0.059317739789024874	0.02132162991251995	0.09704879827636517	0.10028912753063794	0.01028647394902251	0.03764964038893014	0.08938255835627608	0.03408510644636617	0.017867870265589777	0.04361754960130799	0.10920414795235679	0.0373688943003064	0.10366009066612646	0.023809801394785404	0.045030439467698344	0.04345427577108494	0.03353931931082505	0.03421234528893575	0.01632399357048319	0.11099168906443693	0.042863779037806145	0.021699407583345265	0.02242076335672825	0.02047853306732108	0.02242469192013028	0.1911472309841484	0.17585777522310586	0.16156604843598282	0.18248004798470896	0.20286035201878055	0.1982643950792586	0.12988090855921422	0.1524404434839902	0.14503570968112103	0.12891615920921803	0.18949409375791249	0.16198300458962514	0.17322547807768246	0.19186377382804312	0.17355394432656404	0.20672013481735804	0.20759969768906983	0.18518360986988736
G4-A6	0.16920685794594237	0.1690128301293669	0.1954708604507729	0.16554408567685816	0.08767523699786639	0.15925181299587987	0.0	0.1767856028851773	0.16881869444868716	0.15211326760840935	0.15292291793865986	0.16646401750851575	0.17263571074291728	0.07579256462351237	0.16989203370082154	0.16532541746193724	0.17203034594572209	0.158980449120096	0.1706367978157551	0.1559158034884161	0.17176039674849183	0.17160518424157206	0.17164619346159893	0.17087702099574636	0.1615703493691326	0.16649528008615455	0.15231068382591725	0.1708576587254871	0.16838497133609898	0.16601200859157805	0.13975508094766634	0.16459881830699222	0.24774309874127023	0.23179287358440584	0.2175011470544257	0.2398956408260153	0.24762638300142423	0.2541994934405586	0.18581600814908564	0.20985603681101087	0.20231355224204015	0.18485125882766087	0.24655064882862873	0.21267359979512077	0.23028203314839873	0.24036684645842943	0.2311948572214949	0.2626552331786581	0.26353479605036984	0.2411187082311873
G4-A7	0.033243949275031506	0.10993129821760912	0.047932699340248394	0.0721897992102105	0.10223886461322661	0.059317739789024874	0.1767856028851773	0.0	0.041994368506174336	0.12314081223398898	0.11042830699863945	0.0573000801512738	0.03307214568654423	0.11697650259567179	0.028541992534131637	0.066454404256845	0.01942679675502364	0.11489991083478608	0.023896827251281866	0.1225858445740145	0.06267269096759259	0.01556093968854679	0.019203891657067575	0.027984032178767673	0.06156395092278569	0.06355475954442523	0.12117937704317032	0.02150126406505683	0.06883903849223448	0.07094906356548512	0.06839144396745969	0.06213068068938158	0.23901339818532621	0.22352386034205643	0.2092321335549334	0.23034621518588674	0.2510085295130995	0.24593048019820918	0.1775469936781648	0.20030661068516806	0.19318388717543994	0.17658224432816857	0.23736026095909032	0.21048405262083633	0.22109164527886024	0.24001195132236205	0.22170212182088297	0.2543862199363086	0.2552657828080204	0.2328496949888379
G4-B1	0.009355838983719385	0.10876062517261827	0.06642713653739754	0.03211297535525442	0.09807342963822631	0.02132162991251995	0.16881869444868716	0.041994368506174336	0.0	0.10155590398697256	0.1044552311595914	0.020084260059994478	0.01944869638121247	0.10235848444525283	0.014129109506943899	0.02656140029520212	0.02407930740101577	0.11321920528386517	0.01847194147489509	0.10767514799763483	0.02764575925561634	0.027926800651234228	0.023305325272589786	0.01527829843085504	0.03861389741909687	0.023404647887617726	0.11553644590021948	0.02565470992924424	0.031390340600890514	0.030216006978614374	0.03242950317146455	0.026780861264780957	0.19900818772935067	0.1829528213042416	0.16866109451711853	0.1912658710823407	0.2141369558850024	0.20535944116039437	0.13697595464034998	0.16122626658162198	0.15631231354734287	0.13601120529035374	0.19792087908495412	0.1737652674474043	0.1816522634047241	0.20274873188033943	0.18483054819278588	0.21381518089849375	0.2146947437702055	0.19227865595102303
G4-B10	0.10160827021137335	0.03624360110801421	0.1030272072939339	0.09762019567996302	0.13897261155499674	0.09704879827636517	0.15211326760840935	0.12314081223398898	0.10155590398697256	0.0	0.01765904949815402	0.0951466356910263	0.10650062168068315	0.1023192285834092	0.10252367876135389	0.09805932170826473	0.10674181024120945	0.025744701645253536	0.102939961366339	0.010825641249937136	0.10570002278798518	0.10814838062661943	0.10841706942942766	0.10301764517686304	0.0670359730138507	0.09902867651755387	0.01756239716220018	0.10477980869627385	0.0980923390701753	0.0979559127624655	0.09888372793007147	0.075133943352403	0.2078849704972839	0.19239543265401404	0.178103705866891	0.19921778749784447	0.12943418485530284	0.21480205251016682	0.1464185665901224	0.1691781829971257	0.1407835334100918	0.14545381726869763	0.20623183327104797	0.09145411683704546	0.18996321759081788	0.11912515471055789	0.17191544300514724	0.2232577922482662	0.224137355119978	0.20172126730079548
