	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G3-PF1	0.0	0.48120300751879697	0.5739348370927319	0.47869674185463656	0.5263157894736842	0.5338345864661654	0.7443609022556391	0.5764411027568922	0.5714285714285714	0.47619047619047616	0.5162907268170426	0.8521303258145363	0.8671679197994987	0.49624060150375937	0.3182957393483709	0.5513784461152882	0.5739348370927319	0.42857142857142855	0.47619047619047616	0.49874686716791977	0.5238095238095238	0.5588972431077694	0.47619047619047616	0.41353383458646614
G3-PF10	0.48120300751879697	0.0	0.5037593984962406	0.21303258145363407	0.46365914786967416	0.46867167919799496	0.6491228070175439	0.42355889724310775	0.543859649122807	0.3258145363408521	0.41604010025062654	0.8446115288220551	0.7994987468671679	0.38596491228070173	0.47869674185463656	0.42606516290726815	0.47869674185463656	0.42105263157894735	0.41854636591478694	0.21303258145363407	0.3258145363408521	0.48872180451127817	0.38596491228070173	0.3609022556390977
G3-PF11	0.5739348370927319	0.5037593984962406	0.0	0.5513784461152882	0.23057644110275688	0.12280701754385964	0.7844611528822055	0.3157894736842105	0.13533834586466165	0.24060150375939848	0.37343358395989973	0.8295739348370927	0.8721804511278195	0.37092731829573933	0.3032581453634085	0.16040100250626566	0.17794486215538846	0.3533834586466165	0.20551378446115287	0.42606516290726815	0.6165413533834586	0.2781954887218045	0.15538847117794485	0.38596491228070173
G3-PF12	0.47869674185463656	0.21303258145363407	0.5513784461152882	0.0	0.531328320802005	0.5764411027568922	0.5764411027568922	0.506265664160401	0.6140350877192983	0.41102756892230574	0.47117794486215536	0.8170426065162907	0.7944862155388471	0.43609022556390975	0.5513784461152882	0.5137844611528822	0.543859649122807	0.5012531328320802	0.5087719298245614	0.3308270676691729	0.3583959899749373	0.5664160401002506	0.49122807017543857	0.48872180451127817
G3-PF13	0.5263157894736842	0.46365914786967416	0.23057644110275688	0.531328320802005	0.0	0.22807017543859648	0.7669172932330827	0.3082706766917293	0.24060150375939848	0.19548872180451127	0.3233082706766917	0.8245614035087719	0.8847117794486216	0.3333333333333333	0.23308270676691728	0.24812030075187969	0.2531328320802005	0.3233082706766917	0.21553884711779447	0.41854636591478694	0.6040100250626567	0.2706766917293233	0.22807017543859648	0.3408521303258145
G3-PF14	0.5338345864661654	0.46867167919799496	0.12280701754385964	0.5764411027568922	0.22807017543859648	0.0	0.8471177944862155	0.2907268170426065	0.09774436090225563	0.23308270676691728	0.39348370927318294	0.8571428571428571	0.8646616541353384	0.39598997493734334	0.2832080200501253	0.12280701754385964	0.16541353383458646	0.2907268170426065	0.13283208020050125	0.38847117794486213	0.5764411027568922	0.2656641604010025	0.10275689223057644	0.2982456140350877
G3-PF2	0.7443609022556391	0.6491228070175439	0.7844611528822055	0.5764411027568922	0.7669172932330827	0.8471177944862155	0.0	0.7117794486215538	0.849624060150376	0.7092731829573935	0.6741854636591479	0.6766917293233082	0.7293233082706767	0.5889724310776943	0.7769423558897243	0.7694235588972431	0.7669172932330827	0.7468671679197995	0.7744360902255639	0.6917293233082706	0.681704260651629	0.8170426065162907	0.7593984962406015	0.7568922305764411
G3-PF3	0.5764411027568922	0.42355889724310775	0.3157894736842105	0.506265664160401	0.3082706766917293	0.2907268170426065	0.7117794486215538	0.0	0.3558897243107769	0.2932330827067669	0.3433583959899749	0.7869674185463659	0.7593984962406015	0.3182957393483709	0.3358395989974937	0.23558897243107768	0.2506265664160401	0.2731829573934837	0.2957393483709273	0.3408521303258145	0.5137844611528822	0.3358395989974937	0.2781954887218045	0.3458646616541353
G3-PF4	0.5714285714285714	0.543859649122807	0.13533834586466165	0.6140350877192983	0.24060150375939848	0.09774436090225563	0.849624060150376	0.3558897243107769	0.0	0.2656641604010025	0.39598997493734334	0.8696741854636592	0.9097744360902256	0.40350877192982454	0.2907268170426065	0.19047619047619047	0.20300751879699247	0.3508771929824561	0.18295739348370926	0.45864661654135336	0.6416040100250626	0.2807017543859649	0.17543859649122806	0.37844611528822053
G3-PF5	0.47619047619047616	0.3258145363408521	0.24060150375939848	0.41102756892230574	0.19548872180451127	0.23308270676691728	0.7092731829573935	0.2932330827067669	0.2656641604010025	0.0	0.3107769423558897	0.8471177944862155	0.8471177944862155	0.2756892230576441	0.2531328320802005	0.21052631578947367	0.23558897243107768	0.3208020050125313	0.17042606516290726	0.3157894736842105	0.5012531328320802	0.22556390977443608	0.15288220551378445	0.2982456140350877
G3-PF6	0.5162907268170426	0.41604010025062654	0.37343358395989973	0.47117794486215536	0.3233082706766917	0.39348370927318294	0.6741854636591479	0.3433583959899749	0.39598997493734334	0.3107769423558897	0.0	0.7769423558897243	0.8170426065162907	0.2656641604010025	0.3408521303258145	0.3483709273182957	0.3483709273182957	0.3182957393483709	0.3383458646616541	0.3333333333333333	0.5112781954887218	0.38847117794486213	0.3408521303258145	0.3258145363408521
G3-PF7	0.8521303258145363	0.8446115288220551	0.8295739348370927	0.8170426065162907	0.8245614035087719	0.8571428571428571	0.6766917293233082	0.7869674185463659	0.8696741854636592	0.8471177944862155	0.7769423558897243	0.0	0.6516290726817042	0.6741854636591479	0.8471177944862155	0.8245614035087719	0.8195488721804511	0.8270676691729323	0.8621553884711779	0.8170426065162907	0.8070175438596491	0.87468671679198	0.849624060150376	0.8446115288220551
G3-PF8	0.8671679197994987	0.7994987468671679	0.8721804511278195	0.7944862155388471	0.8847117794486216	0.8646616541353384	0.7293233082706767	0.7593984962406015	0.9097744360902256	0.8471177944862155	0.8170426065162907	0.6516290726817042	0.0	0.7468671679197995	0.9072681704260651	0.8120300751879699	0.8070175438596491	0.8095238095238095	0.8446115288220551	0.7644110275689223	0.7543859649122807	0.8822055137844611	0.8521303258145363	0.8421052631578947
G3-PF9	0.49624060150375937	0.38596491228070173	0.37092731829573933	0.43609022556390975	0.3333333333333333	0.39598997493734334	0.5889724310776943	0.3182957393483709	0.40350877192982454	0.2756892230576441	0.2656641604010025	0.6741854636591479	0.7468671679197995	0.0	0.3483709273182957	0.3634085213032581	0.3533834586466165	0.3208020050125313	0.3483709273182957	0.3258145363408521	0.5012531328320802	0.39348370927318294	0.3258145363408521	0.3233082706766917
