	G2-31	G2-32	G2-33	G2-34	G2-35	G2-36	G2-71	G2-72	G2-73	G2-74	G2-75	G2-76	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G2-31	0.0	0.06265664160401002	0.040100250626566414	0.16040100250626566	0.14786967418546365	0.06516290726817042	0.8771929824561403	0.8872180451127819	0.8696741854636592	0.8796992481203008	0.899749373433584	0.8947368421052632	0.9298245614035088	0.8295739348370927	0.9548872180451128	0.7443609022556391	0.8972431077694235	0.9774436090225563	0.8045112781954887	0.9373433583959899	0.9699248120300752	0.8571428571428571	0.8471177944862155	0.9573934837092731	0.9298245614035088	0.8671679197994987	0.9172932330827067	0.949874686716792	0.9573934837092731	0.9473684210526315	0.9097744360902256	0.8972431077694235	0.8972431077694235	0.9473684210526315	0.9022556390977443	0.9223057644110275
G2-32	0.06265664160401002	0.0	0.06015037593984962	0.10025062656641603	0.09523809523809523	0.05764411027568922	0.8721804511278195	0.8771929824561403	0.8596491228070176	0.8696741854636592	0.8972431077694235	0.8847117794486216	0.9298245614035088	0.8220551378446115	0.9649122807017544	0.7443609022556391	0.9072681704260651	0.9799498746867168	0.8045112781954887	0.9473684210526315	0.9774436090225563	0.849624060150376	0.8696741854636592	0.9674185463659147	0.9523809523809523	0.8546365914786967	0.9172932330827067	0.9598997493734336	0.9674185463659147	0.9573934837092731	0.9223057644110275	0.8972431077694235	0.8972431077694235	0.9473684210526315	0.899749373433584	0.924812030075188
G2-33	0.040100250626566414	0.06015037593984962	0.0	0.15789473684210525	0.14285714285714285	0.06265664160401002	0.8947368421052632	0.9047619047619048	0.8872180451127819	0.8972431077694235	0.9172932330827067	0.9097744360902256	0.9298245614035088	0.8471177944862155	0.9598997493734336	0.7669172932330827	0.9022556390977443	0.9774436090225563	0.8245614035087719	0.9423558897243107	0.9724310776942355	0.8721804511278195	0.8571428571428571	0.9624060150375939	0.9373433583959899	0.8872180451127819	0.9172932330827067	0.9548872180451128	0.9624060150375939	0.9523809523809523	0.9147869674185464	0.9172932330827067	0.9172932330827067	0.9473684210526315	0.9172932330827067	0.9273182957393483
G2-34	0.16040100250626566	0.10025062656641603	0.15789473684210525	0.0	0.07017543859649122	0.10526315789473684	0.8646616541353384	0.8671679197994987	0.8521303258145363	0.8621553884711779	0.9022556390977443	0.8872180451127819	0.9298245614035088	0.8145363408521303	0.9674185463659147	0.7368421052631579	0.9097744360902256	0.9824561403508771	0.8020050125313283	0.949874686716792	0.9799498746867168	0.8421052631578947	0.8721804511278195	0.9699248120300752	0.9598997493734336	0.8521303258145363	0.9172932330827067	0.9624060150375939	0.9699248120300752	0.9598997493734336	0.9298245614035088	0.9022556390977443	0.9022556390977443	0.9473684210526315	0.9022556390977443	0.9273182957393483
G2-35	0.14786967418546365	0.09523809523809523	0.14285714285714285	0.07017543859649122	0.0	0.11027568922305764	0.8571428571428571	0.8646616541353384	0.8471177944862155	0.8596491228070176	0.87468671679198	0.8646616541353384	0.9273182957393483	0.8070175438596491	0.9598997493734336	0.7293233082706767	0.9022556390977443	0.974937343358396	0.7894736842105263	0.949874686716792	0.9724310776942355	0.8521303258145363	0.8696741854636592	0.9624060150375939	0.9423558897243107	0.8546365914786967	0.9172932330827067	0.9523809523809523	0.9624060150375939	0.9523809523809523	0.9122807017543859	0.8721804511278195	0.8721804511278195	0.9448621553884712	0.8947368421052632	0.9197994987468672
G2-36	0.06516290726817042	0.05764411027568922	0.06265664160401002	0.10526315789473684	0.11027568922305764	0.0	0.8947368421052632	0.8972431077694235	0.8822055137844611	0.8922305764411027	0.9172932330827067	0.9022556390977443	0.9298245614035088	0.8446115288220551	0.9674185463659147	0.7669172932330827	0.9097744360902256	0.9824561403508771	0.8270676691729323	0.949874686716792	0.9799498746867168	0.8671679197994987	0.8696741854636592	0.9699248120300752	0.949874686716792	0.8822055137844611	0.9172932330827067	0.9624060150375939	0.9699248120300752	0.9598997493734336	0.9197994987468672	0.9172932330827067	0.9172932330827067	0.9473684210526315	0.9122807017543859	0.9273182957393483
G2-71	0.8771929824561403	0.8721804511278195	0.8947368421052632	0.8646616541353384	0.8571428571428571	0.8947368421052632	0.0	0.10275689223057644	0.08020050125313283	0.15789473684210525	0.2982456140350877	0.2807017543859649	0.9423558897243107	0.6616541353383458	0.974937343358396	0.7092731829573935	0.9423558897243107	0.9774436090225563	0.7919799498746867	0.9448621553884712	0.974937343358396	0.8320802005012531	0.8671679197994987	0.9874686716791979	0.9548872180451128	0.87468671679198	0.9273182957393483	0.9523809523809523	0.9473684210526315	0.9473684210526315	0.9072681704260651	0.7017543859649122	0.5639097744360902	0.7418546365914787	0.9072681704260651	0.8872180451127819
G2-72	0.8872180451127819	0.8771929824561403	0.9047619047619048	0.8671679197994987	0.8646616541353384	0.8972431077694235	0.10275689223057644	0.0	0.12280701754385964	0.09523809523809523	0.39598997493734334	0.3634085213032581	0.9398496240601504	0.6491228070175439	0.9774436090225563	0.6992481203007519	0.9473684210526315	0.9774436090225563	0.7944862155388471	0.949874686716792	0.9774436090225563	0.8220551378446115	0.8721804511278195	0.9899749373433584	0.9573934837092731	0.8796992481203008	0.9223057644110275	0.9548872180451128	0.949874686716792	0.949874686716792	0.9072681704260651	0.7042606516290727	0.5664160401002506	0.7368421052631579	0.9097744360902256	0.8872180451127819
G2-73	0.8696741854636592	0.8596491228070176	0.8872180451127819	0.8521303258145363	0.8471177944862155	0.8822055137844611	0.08020050125313283	0.12280701754385964	0.0	0.18796992481203006	0.3258145363408521	0.2832080200501253	0.9323308270676691	0.6416040100250626	0.974937343358396	0.681704260651629	0.9298245614035088	0.974937343358396	0.7919799498746867	0.9398496240601504	0.974937343358396	0.8120300751879699	0.8621553884711779	0.9874686716791979	0.9548872180451128	0.8696741854636592	0.9223057644110275	0.9523809523809523	0.9473684210526315	0.9473684210526315	0.9047619047619048	0.7017543859649122	0.5639097744360902	0.7368421052631579	0.9072681704260651	0.8847117794486216
G2-74	0.8796992481203008	0.8696741854636592	0.8972431077694235	0.8621553884711779	0.8596491228070176	0.8922305764411027	0.15789473684210525	0.09523809523809523	0.18796992481203006	0.0	0.44360902255639095	0.41353383458646614	0.949874686716792	0.6516290726817042	0.9824561403508771	0.7017543859649122	0.9523809523809523	0.9824561403508771	0.7994987468671679	0.9573934837092731	0.9849624060150376	0.8245614035087719	0.8721804511278195	0.9949874686716792	0.9548872180451128	0.8872180451127819	0.9273182957393483	0.9598997493734336	0.9548872180451128	0.9548872180451128	0.9122807017543859	0.7092731829573935	0.5714285714285714	0.7443609022556391	0.9147869674185464	0.8922305764411027
G2-75	0.899749373433584	0.8972431077694235	0.9172932330827067	0.9022556390977443	0.87468671679198	0.9172932330827067	0.2982456140350877	0.39598997493734334	0.3258145363408521	0.44360902255639095	0.0	0.047619047619047616	0.949874686716792	0.706766917293233	0.974937343358396	0.7518796992481203	0.9548872180451128	0.9849624060150376	0.8195488721804511	0.9674185463659147	0.9799498746867168	0.8796992481203008	0.8972431077694235	0.9849624060150376	0.9548872180451128	0.9022556390977443	0.9423558897243107	0.9523809523809523	0.9473684210526315	0.9473684210526315	0.9097744360902256	0.7017543859649122	0.5639097744360902	0.9197994987468672	0.9072681704260651	0.9047619047619048
G2-76	0.8947368421052632	0.8847117794486216	0.9097744360902256	0.8872180451127819	0.8646616541353384	0.9022556390977443	0.2807017543859649	0.3634085213032581	0.2832080200501253	0.41353383458646614	0.047619047619047616	0.0	0.9398496240601504	0.7017543859649122	0.9849624060150376	0.7443609022556391	0.949874686716792	0.9874686716791979	0.8295739348370927	0.9674185463659147	0.9874686716791979	0.8671679197994987	0.8972431077694235	0.9974937343358395	0.9649122807017544	0.9022556390977443	0.9398496240601504	0.9624060150375939	0.9573934837092731	0.9573934837092731	0.9147869674185464	0.7117794486215538	0.5739348370927319	0.8897243107769424	0.9172932330827067	0.8947368421052632
G3-PF1	0.9298245614035088	0.9298245614035088	0.9298245614035088	0.9298245614035088	0.9273182957393483	0.9298245614035088	0.9423558897243107	0.9398496240601504	0.9323308270676691	0.949874686716792	0.949874686716792	0.9398496240601504	0.0	0.45864661654135336	0.46365914786967416	0.506265664160401	0.46365914786967416	0.44611528822055135	0.8095238095238095	0.49122807017543857	0.47619047619047616	0.44110275689223055	0.44862155388471175	0.8721804511278195	0.8972431077694235	0.45864661654135336	0.2957393483709273	0.48872180451127817	0.48621553884711777	0.3634085213032581	0.40350877192982454	0.46115288220551376	0.5488721804511278	0.47117794486215536	0.41353383458646614	0.37593984962406013
G3-PF10	0.8295739348370927	0.8220551378446115	0.8471177944862155	0.8145363408521303	0.8070175438596491	0.8446115288220551	0.6616541353383458	0.6491228070175439	0.6416040100250626	0.6516290726817042	0.706766917293233	0.7017543859649122	0.45864661654135336	0.0	0.48872180451127817	0.20551378446115287	0.46867167919799496	0.47368421052631576	0.6190476190476191	0.41604010025062654	0.5363408521303258	0.3609022556390977	0.40100250626566414	0.8521303258145363	0.8471177944862155	0.40350877192982454	0.48120300751879697	0.43609022556390975	0.47368421052631576	0.44862155388471175	0.42857142857142855	0.20050125313283207	0.2907268170426065	0.47368421052631576	0.37343358395989973	0.3684210526315789
G3-PF11	0.9548872180451128	0.9649122807017544	0.9598997493734336	0.9674185463659147	0.9598997493734336	0.9674185463659147	0.974937343358396	0.9774436090225563	0.974937343358396	0.9824561403508771	0.974937343358396	0.9849624060150376	0.46365914786967416	0.48872180451127817	0.0	0.5012531328320802	0.22807017543859648	0.15789473684210525	0.7568922305764411	0.3032581453634085	0.19047619047619047	0.23558897243107768	0.3258145363408521	0.8195488721804511	0.8646616541353384	0.3208020050125313	0.23308270676691728	0.16791979949874686	0.17042606516290726	0.2631578947368421	0.15288220551378445	0.42857142857142855	0.5538847117794486	0.2807017543859649	0.15288220551378445	0.3308270676691729
G3-PF12	0.7443609022556391	0.7443609022556391	0.7669172932330827	0.7368421052631579	0.7293233082706767	0.7669172932330827	0.7092731829573935	0.6992481203007519	0.681704260651629	0.7017543859649122	0.7518796992481203	0.7443609022556391	0.506265664160401	0.20551378446115287	0.5012531328320802	0.0	0.47619047619047616	0.531328320802005	0.5363408521303258	0.45614035087719296	0.5839598997493735	0.40601503759398494	0.41102756892230574	0.8120300751879699	0.8120300751879699	0.41604010025062654	0.531328320802005	0.47869674185463656	0.48872180451127817	0.46867167919799496	0.47869674185463656	0.3132832080200501	0.3082706766917293	0.5263157894736842	0.45363408521303256	0.48370927318295737
