	G2-31	G2-32	G2-33	G2-34	G2-35	G2-36	G2-71	G2-72	G2-73	G2-74	G2-75	G2-76	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G2-31	0.0	0.13834312595577763	0.06969136931070752	0.07898825118559938	0.10049089716614777	0.09833636754299406	0.3643435942157761	0.17604143933484181	0.08410929943256298	0.2547896797509709	0.16299062512694193	0.13088573427131	0.3268640870039757	0.5444626760607428	0.7417164214736879	0.7170661722943381	0.7795280842748542	0.4539785367664975	0.8215227759142862	0.7715710958902139	0.6236530368447134	0.6341755065523692	0.7171708680729281	0.7246474981875219	0.5471492276937234	0.6196298378769685	0.3367937893829184	0.49937801911123897	0.5961250950459573	0.7245047170233782	0.5539601138326261	0.621958504622884	0.5539662325363387	0.3933829339969078	0.3412761841153851	0.54238863911323
G2-32	0.13834312595577763	0.0	0.1905893851105759	0.20079583041713972	0.21400471510081617	0.22307533301773763	0.42431448700046787	0.2835756762274034	0.2036415335330317	0.33552805662732377	0.2637575405001982	0.2489939431907823	0.29538243549488924	0.5019482305953218	0.7031741098807663	0.6822676593371707	0.7519631467801434	0.4259634386263581	0.7957061470148755	0.7425652698905575	0.5996024014378466	0.6105235614616302	0.6715016939685132	0.6985686170501253	0.48707244546326006	0.5955796475592557	0.3053593037213948	0.47148940255415933	0.5468597909722868	0.6897215956420826	0.5277842111283225	0.5975511484117159	0.521305307229646	0.3612345708379418	0.3125342201682906	0.5159167784434554
G2-33	0.06969136931070752	0.1905893851105759	0.0	0.14013528821656915	0.09139829430293932	0.16117454074658932	0.35204291497732293	0.16427798599115417	0.07517420027190883	0.29477144589160376	0.21323319581410444	0.19029984312085624	0.31356093672957813	0.5103374288984611	0.7317280543275054	0.6957498325668721	0.7721615377999166	0.4418587764360884	0.8061231958312634	0.7540539395461656	0.6130278778597718	0.6063745006420082	0.695862421169653	0.7008120010087525	0.5354294119601374	0.6090097061203561	0.3234787646025959	0.48722629980658905	0.5849426781699153	0.7032354530707039	0.5424793483017225	0.6111756523981443	0.5196304830285755	0.379588089760518	0.2911655883592429	0.5307938457202026
G2-34	0.07898825118559938	0.20079583041713972	0.14013528821656915	0.0	0.07921215861007701	0.11917315951410457	0.40431504081456404	0.1938692900805739	0.15419653810262113	0.30541184401494564	0.22373200485606065	0.15056832154290695	0.33865476809156414	0.5685291343796355	0.7551573327647806	0.7296495688272241	0.7886346692996213	0.4855154445854898	0.8295164689544401	0.7812668422950418	0.6423248386158533	0.6479069089146927	0.7297481104342869	0.7385664032652545	0.5716564709142322	0.6384639244945189	0.3482068161533977	0.48717067220910587	0.6170361052609021	0.7369495805738487	0.5775980882816923	0.640978307605299	0.5779504127268884	0.4031732160261714	0.3832388284577196	0.5669045575077103
G2-35	0.10049089716614777	0.21400471510081617	0.09139829430293932	0.07921215861007701	0.0	0.18894535491068631	0.3490924217502817	0.1633452088175782	0.07578683233553259	0.3128837146716699	0.23577165234265413	0.21661157048436086	0.3106952967278217	0.5293670375398181	0.7279956617066944	0.7049668189078117	0.7693372057199267	0.4384058305529331	0.8116104547079139	0.7609289798091954	0.609364021510313	0.6200786898408505	0.7050743576008114	0.7110154118581168	0.5316710435217693	0.6053592864705722	0.3205247565092354	0.44172764481949006	0.5811797070518514	0.712320520974307	0.5387691297664187	0.6074640024411666	0.5385525184996036	0.37608323875704885	0.3263650228497763	0.5270926047130886
G2-36	0.09833636754299406	0.22307533301773763	0.16117454074658932	0.11917315951410457	0.18894535491068631	0.0	0.4281473358523386	0.09262446467768566	0.17604143933484181	0.3292104739687121	0.2468184193699551	0.03824735046017851	0.27298397421994725	0.589258561967659	0.7725555045407004	0.7450479206939017	0.8013324394663753	0.5081327569291655	0.8417376524292656	0.7945656938259658	0.6612107798133744	0.6664276023215268	0.7451422618518079	0.7559361265876684	0.5929103040983386	0.6573548192008463	0.28473011596041187	0.550123238236063	0.6370556348668984	0.752424675683942	0.598365742298031	0.660160019860177	0.5990384427896411	0.3489905973836993	0.4070558804672893	0.58794626905456
G2-71	0.3643435942157761	0.42431448700046787	0.35204291497732293	0.40431504081456404	0.3490924217502817	0.4281473358523386	0.0	0.374709756674035	0.31005416576344785	0.4448523666256072	0.4179185175411939	0.4218268701324525	0.48073204546266535	0.6124277835060629	0.7560233695658977	0.7330276404379041	0.7865599164790331	0.5485796914261712	0.8244908205435787	0.7043967020895605	0.6637140665835001	0.6662750026152313	0.7331151024238409	0.7412969873080827	0.5932953854606818	0.6548143655838474	0.4860407022903941	0.5584717445840262	0.6250606262839383	0.7312903645774661	0.5995466049525212	0.6553204902815016	0.6039530984014942	0.5011711360904451	0.4785446046994212	0.5909303326644073
G2-72	0.17604143933484181	0.2835756762274034	0.16427798599115417	0.1938692900805739	0.1633452088175782	0.09262446467768566	0.374709756674035	0.0	0.09371111136880869	0.35019057714536594	0.2735046060284926	0.08188344359268865	0.2409601064817947	0.5741646945149752	0.7592919734836387	0.7330557965351583	0.791913461800579	0.4856993953020118	0.8329572601190265	0.7804782011076321	0.6406757615949439	0.6509115375694715	0.7331544187313461	0.7425096501524733	0.5639755247165558	0.6413872442362186	0.25326663311844627	0.5178243328076564	0.6047190919041061	0.7310955459504894	0.5724133129080929	0.6301803503670456	0.5630419389563811	0.28636496722992627	0.38020839259843975	0.5612912733177088
G2-73	0.08410929943256298	0.2036415335330317	0.07517420027190883	0.15419653810262113	0.07578683233553259	0.17604143933484181	0.31005416576344785	0.09371111136880869	0.0	0.27831125227665393	0.19288752571056336	0.16644873365268176	0.29697322861557673	0.5295997814947435	0.7285078504116129	0.7051193029911376	0.7701365954908689	0.43171442317186254	0.81276601300316	0.7574354940081065	0.6030714267163615	0.6187766893414283	0.7052282464156763	0.7112775942742526	0.5180235206903497	0.6037444737463953	0.30739241682424834	0.46684422376246304	0.5634396595186787	0.70301368567915	0.5278934035645169	0.5916750886922514	0.5175462912857012	0.3357227494500573	0.3146782427370556	0.515613348046071
G2-74	0.2547896797509709	0.33552805662732377	0.29477144589160376	0.30541184401494564	0.3128837146716699	0.3292104739687121	0.4448523666256072	0.35019057714536594	0.27831125227665393	0.0	0.3123199206742235	0.3094720262156911	0.4620914802019403	0.6034285320800826	0.7230655399043442	0.6993079830834079	0.7630431477258642	0.5327987197100309	0.784186996064752	0.7555754121622618	0.6673375032271008	0.5737512074366689	0.7027524585335281	0.6728816618582215	0.532575109231231	0.6073854357745379	0.45937461112275946	0.48756498873802223	0.517737439689437	0.6697449994030993	0.4801410287309474	0.6568226717274878	0.6024450823628459	0.489753448868978	0.45824887454715824	0.5247973250022252
