	G2-31	G2-32	G2-33	G2-34	G2-35	G2-36	G2-71	G2-72	G2-73	G2-74	G2-75	G2-76	G3-PF1	G3-PF10	G3-PF11	G3-PF12	G3-PF13	G3-PF14	G3-PF2	G3-PF3	G3-PF4	G3-PF5	G3-PF6	G3-PF7	G3-PF8	G3-PF9	G3-WF1	G3-WF10	G3-WF2	G3-WF3	G3-WF4	G3-WF5	G3-WF6	G3-WF7	G3-WF8	G3-WF9
G2-31	0.0	0.014740701880367415	0.0021208472578674634	0.034428286413157635	0.03487234789647656	0.004446811497159415	0.15670496142420762	0.14473205376508033	0.16081564108378085	0.11821866396072567	0.2377825192319943	0.22574285773449082	0.3013962366294021	0.2424565557016365	0.28138617994736054	0.24482484407847496	0.27914182298650353	0.27861444782364325	0.280617033347333	0.27938252226243265	0.27607561911875794	0.24382142462645132	0.2598645306525456	0.3668818623116992	0.2913992479898225	0.26347031511280633	0.28211795383215726	0.26888598616194637	0.2705356677298841	0.2794071593730781	0.2628707740984967	0.2392800137097663	0.24315766106771639	0.20034047307618041	0.25756922701044804	0.23500264418007713
G2-32	0.014740701880367415	0.0	0.014322644278225381	0.021089665934468697	0.02323148167330751	0.014162056776475935	0.14537156733647563	0.13210657136459755	0.14819015868329805	0.10554156712901724	0.22769933898835937	0.21311737533400804	0.2948646980636674	0.2310097739213995	0.2769335490085527	0.23396771743959854	0.2746891920476956	0.2731916321748265	0.276180628271691	0.2749298913236247	0.27180969516185843	0.2383596075043957	0.2552736839859643	0.3674551601849226	0.2922805404675654	0.25925726497852675	0.2755864152664225	0.2646729367043582	0.26608303679107614	0.2749545284342702	0.2569852999563731	0.2311159529117031	0.23248533481597844	0.19353224696243307	0.25313789749010085	0.22905072789137906
G2-33	0.0021208472578674634	0.014322644278225381	0.0	0.034010228811015605	0.03518897209825436	0.003080483008026082	0.15675760355633245	0.1446924667145343	0.16077605403323475	0.11842049865306109	0.23925860381783226	0.22592811390022519	0.30139097287944605	0.24292804342178387	0.28254016075147775	0.2459288284997825	0.28029580379062063	0.2786091840736872	0.2817210177686404	0.2803363716189884	0.2771767254235637	0.24376616449368554	0.2609685148232265	0.3681382822699986	0.292872409857139	0.2647578204450318	0.2821126900822011	0.2700399669660636	0.27168964853400135	0.2803610088048216	0.26286551039866585	0.240567551227473	0.2442450672130494	0.20015075096088247	0.25830479668018436	0.2349973804802463
G2-34	0.034428286413157635	0.021089665934468697	0.034010228811015605	0.0	0.01131377137001332	0.033910710838245095	0.12672343435446523	0.11363542485606952	0.12989452277321506	0.08729754590078634	0.20908248315549693	0.19472912058129227	0.2859257802696197	0.2130434839551348	0.2680056116155782	0.21609479074547672	0.26576125465472106	0.26402411330063225	0.26716935042934165	0.2660019539306502	0.2626421762876641	0.22902506986640886	0.24651695976742316	0.3652663408350483	0.2909312723900021	0.25007316757773135	0.266647497472375	0.25520708295400935	0.2571550993981018	0.26602659104129567	0.2478510021554661	0.21645987748661472	0.2145104994905305	0.1845933291683854	0.24397037861590654	0.2198832090171848
G2-35	0.03487234789647656	0.02323148167330751	0.03518897209825436	0.01131377137001332	0.0	0.03617823790145515	0.1328194469762372	0.12067102871866492	0.13675461603736544	0.09450118832502195	0.2144723870365365	0.20195906824300944	0.2872653955936945	0.21864315571564433	0.26374075392107105	0.21632694221476892	0.26149639696021393	0.26460859574922524	0.26295409912158524	0.2617868312896304	0.26201432370048205	0.22979571166585747	0.24228513003331636	0.3577084110289725	0.2831923146462049	0.24589120166409925	0.26800369114761197	0.2509256147228587	0.25289024170359486	0.2617617333467886	0.24877315413607626	0.21485605329822435	0.21459344579936057	0.18713192386718153	0.24378940707137975	0.22087180314436947
G2-36	0.004446811497159415	0.014162056776475935	0.003080483008026082	0.033910710838245095	0.03617823790145515	0.0	0.15786941822375541	0.14378872700283457	0.16054416578124267	0.1180394177155451	0.24012899691781234	0.22478295262108255	0.30158340982133613	0.2441894678244251	0.28447146452447786	0.24724077461476687	0.28222710756362085	0.2804899662095318	0.2838355540790291	0.28246780683955	0.2791080291965638	0.2457244301682961	0.2630830513341165	0.37057228794192815	0.29513950522998217	0.2666390042345718	0.2823051270240913	0.2719712707390638	0.2736209523070014	0.2824924439501953	0.2642504129177913	0.241986051439845	0.2455570132528459	0.2001587295374309	0.26043623162505686	0.23634906192608446
G2-71	0.15670496142420762	0.14537156733647563	0.15675760355633245	0.12672343435446523	0.1328194469762372	0.15786941822375541	0.0	0.01629464582182839	0.008250412389027831	0.044929876240821946	0.0924860691995547	0.07864936038114698	0.2515100855249738	0.14019722104030347	0.2090202189007746	0.14782435216575035	0.20730461091905267	0.20485840253458795	0.2378404618369576	0.20492218582487395	0.20341903663471408	0.16926204882046758	0.1875155515406829	0.35126599897861904	0.2758334223399666	0.1915628558379103	0.20872631755925977	0.19591674353296562	0.19723111622909703	0.2063708549697358	0.18878052953311852	0.15495101592307509	0.13926018482301702	0.12102835162023325	0.1852394014509452	0.16007883916567844
G2-72	0.14473205376508033	0.13210657136459755	0.1446924667145343	0.11363542485606952	0.12067102871866492	0.14378872700283457	0.01629464582182839	0.0	0.019063809946098683	0.030694140785357264	0.10571553139986638	0.08972667966511479	0.2523796245710132	0.14674482465658178	0.21603633010220025	0.1547630760522253	0.21434280491250238	0.21158925318225133	0.24076738355512425	0.21349563921094963	0.21013662572213287	0.17609423712465172	0.19455374553413263	0.3541929206967857	0.2787603440581332	0.19860104983135995	0.21366296329653406	0.20293285473439115	0.20424722743052248	0.21338696617116149	0.1952170184575075	0.16162652849145928	0.14593569739140122	0.12568830980949475	0.1919149140193294	0.16651532809006744
G2-73	0.16081564108378085	0.14819015868329805	0.16077605403323475	0.12989452277321506	0.13675461603736544	0.16054416578124267	0.008250412389027831	0.019063809946098683	0.0	0.04890360866703677	0.08703337625556673	0.07160596202040198	0.24913703656131772	0.13612938135644215	0.20546505238610888	0.14405930158398905	0.20363903044426612	0.20101797546615993	0.23701142164446448	0.20285811311878585	0.19956534800604148	0.16548514987761917	0.18419145512110952	0.3504369587861258	0.2750043821474734	0.18856866479230788	0.20367130785747936	0.19236157701829976	0.19367594971443108	0.20446710252991407	0.18464574074141613	0.1510552507753679	0.13536441967530985	0.11569665437044006	0.18134363630323808	0.15594405037397602
G2-74	0.11821866396072567	0.10554156712901724	0.11842049865306109	0.08729754590078634	0.09450118832502195	0.1180394177155451	0.044929876240821946	0.030694140785357264	0.04890360866703677	0.0	0.13426964786503107	0.11895926412275566	0.25785848281284124	0.1631177463700769	0.23158719148796747	0.1702236691345493	0.22985957354256	0.22791249075210848	0.24549587988976246	0.22917162317712642	0.226682861775384	0.19120088376030758	0.21012668956154767	0.35765625549778096	0.28282820821267624	0.21417399400915108	0.23067168280973707	0.21858675590854398	0.21933278968156739	0.22850590019708286	0.21024969132607524	0.17819275832184617	0.16250192722178813	0.1429263910995889	0.2083781040613306	0.18206618947583456
