	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-A1	0.0	0.32	0.23714285714285716	0.13428571428571429	0.26	0.14857142857142858	0.41714285714285715	0.16857142857142857	0.09714285714285714	0.3342857142857143	0.3057142857142857	0.07714285714285714	0.12	0.29714285714285715	0.07714285714285714	0.12285714285714286	0.18285714285714286	0.35428571428571426	0.10285714285714286	0.36857142857142855	0.15142857142857144	0.12857142857142856	0.06857142857142857	0.21428571428571427	0.14857142857142858	0.1	0.38	0.12857142857142856	0.23142857142857143	0.14285714285714285	0.1457142857142857	0.15142857142857144	0.7771428571428571	0.78	0.78	0.7742857142857142	0.7457142857142857	0.78	0.78	0.7742857142857142	0.7742857142857142	0.78	0.7771428571428571	0.6628571428571428	0.7771428571428571	0.6942857142857143	0.7028571428571428	0.78	0.78	0.78
G4-A10	0.32	0.0	0.24285714285714285	0.38857142857142857	0.44857142857142857	0.3742857142857143	0.5114285714285715	0.35714285714285715	0.32571428571428573	0.10571428571428572	0.07714285714285714	0.30857142857142855	0.34	0.35714285714285715	0.32285714285714284	0.3942857142857143	0.3342857142857143	0.08	0.36	0.16285714285714287	0.3314285714285714	0.38571428571428573	0.32285714285714284	0.4685714285714286	0.22	0.38571428571428573	0.09428571428571429	0.3057142857142857	0.3942857142857143	0.38857142857142857	0.4085714285714286	0.25142857142857145	0.88	0.88	0.88	0.8771428571428571	0.5257142857142857	0.88	0.88	0.8771428571428571	0.8	0.88	0.88	0.5628571428571428	0.88	0.5257142857142857	0.7771428571428571	0.88	0.88	0.88
G4-A11	0.23714285714285716	0.24285714285714285	0.0	0.3314285714285714	0.36857142857142855	0.36	0.5228571428571429	0.18285714285714286	0.29714285714285715	0.3028571428571429	0.26	0.27714285714285714	0.18285714285714286	0.38	0.2742857142857143	0.2885714285714286	0.2057142857142857	0.26857142857142857	0.2	0.27714285714285714	0.3	0.2057142857142857	0.23714285714285716	0.30857142857142855	0.18857142857142858	0.29428571428571426	0.2857142857142857	0.25142857142857145	0.32	0.34285714285714286	0.29428571428571426	0.26285714285714284	0.9371428571428572	0.9371428571428572	0.9371428571428572	0.9342857142857143	0.7571428571428571	0.9371428571428572	0.9371428571428572	0.9342857142857143	0.8571428571428571	0.9371428571428572	0.9371428571428572	0.6857142857142857	0.9371428571428572	0.7057142857142857	0.7914285714285715	0.9371428571428572	0.9371428571428572	0.9371428571428572
G4-A2	0.13428571428571429	0.38857142857142857	0.3314285714285714	0.0	0.2742857142857143	0.19142857142857142	0.41714285714285715	0.21428571428571427	0.1457142857142857	0.32571428571428573	0.3657142857142857	0.12857142857142856	0.21142857142857144	0.3485714285714286	0.17714285714285713	0.06571428571428571	0.2542857142857143	0.3485714285714286	0.14285714285714285	0.3514285714285714	0.2257142857142857	0.17142857142857143	0.15714285714285714	0.21142857142857144	0.22857142857142856	0.05714285714285714	0.38571428571428573	0.22285714285714286	0.2	0.06	0.1457142857142857	0.21714285714285714	0.72	0.72	0.72	0.7171428571428572	0.6857142857142857	0.72	0.72	0.7171428571428572	0.7142857142857143	0.72	0.72	0.5857142857142857	0.72	0.6342857142857142	0.6428571428571429	0.72	0.72	0.72
G4-A4	0.26	0.44857142857142857	0.36857142857142855	0.2742857142857143	0.0	0.33714285714285713	0.24571428571428572	0.30857142857142855	0.2857142857142857	0.44571428571428573	0.43714285714285717	0.3171428571428571	0.3028571428571429	0.2257142857142857	0.3028571428571429	0.2914285714285714	0.37142857142857144	0.46	0.2542857142857143	0.4542857142857143	0.3457142857142857	0.25142857142857145	0.3028571428571429	0.37142857142857144	0.3485714285714286	0.2714285714285714	0.47714285714285715	0.32285714285714284	0.3514285714285714	0.2714285714285714	0.23714285714285716	0.37714285714285717	0.84	0.84	0.84	0.84	0.8085714285714286	0.84	0.84	0.84	0.8371428571428572	0.84	0.84	0.72	0.84	0.7571428571428571	0.7657142857142857	0.84	0.84	0.84
G4-A5	0.14857142857142858	0.3742857142857143	0.36	0.19142857142857142	0.33714285714285713	0.0	0.44285714285714284	0.2714285714285714	0.12571428571428572	0.3457142857142857	0.3485714285714286	0.17142857142857143	0.22857142857142856	0.24285714285714285	0.1657142857142857	0.22	0.2742857142857143	0.3914285714285714	0.2257142857142857	0.4114285714285714	0.17142857142857143	0.23142857142857143	0.13142857142857142	0.28285714285714286	0.22285714285714286	0.20857142857142857	0.38285714285714284	0.19142857142857142	0.2714285714285714	0.16	0.21714285714285714	0.19714285714285715	0.7828571428571428	0.7857142857142857	0.7857142857142857	0.78	0.7457142857142857	0.7857142857142857	0.7857142857142857	0.78	0.7742857142857142	0.7857142857142857	0.7828571428571428	0.6371428571428571	0.7828571428571428	0.6942857142857143	0.7028571428571428	0.7857142857142857	0.7857142857142857	0.7857142857142857
G4-A6	0.41714285714285715	0.5114285714285715	0.5228571428571429	0.41714285714285715	0.24571428571428572	0.44285714285714284	0.0	0.4514285714285714	0.41714285714285715	0.4828571428571429	0.48857142857142855	0.4257142857142857	0.44285714285714284	0.26285714285714284	0.41714285714285715	0.4142857142857143	0.4542857142857143	0.5142857142857142	0.41714285714285715	0.4657142857142857	0.44285714285714284	0.4685714285714286	0.44	0.41714285714285715	0.42857142857142855	0.41714285714285715	0.5314285714285715	0.43714285714285717	0.45714285714285713	0.41714285714285715	0.3457142857142857	0.45714285714285713	0.8371428571428572	0.8371428571428572	0.8371428571428572	0.8371428571428572	0.8057142857142857	0.8371428571428572	0.8371428571428572	0.8371428571428572	0.8342857142857143	0.8371428571428572	0.8371428571428572	0.7742857142857142	0.8371428571428572	0.7742857142857142	0.7742857142857142	0.8371428571428572	0.8371428571428572	0.8371428571428572
G4-A7	0.16857142857142857	0.35714285714285715	0.18285714285714286	0.21428571428571427	0.30857142857142855	0.2714285714285714	0.4514285714285714	0.0	0.22	0.3457142857142857	0.34285714285714286	0.21714285714285714	0.13714285714285715	0.3342857142857143	0.20857142857142857	0.19142857142857142	0.08571428571428572	0.3514285714285714	0.07714285714285714	0.35428571428571426	0.2342857142857143	0.15428571428571428	0.14857142857142858	0.15428571428571428	0.21714285714285714	0.18571428571428572	0.3742857142857143	0.20857142857142857	0.2257142857142857	0.2257142857142857	0.18571428571428572	0.26	0.8714285714285714	0.8714285714285714	0.8714285714285714	0.8685714285714285	0.8285714285714286	0.8714285714285714	0.8714285714285714	0.8685714285714285	0.8571428571428571	0.8714285714285714	0.8714285714285714	0.7342857142857143	0.8714285714285714	0.7771428571428571	0.7857142857142857	0.8714285714285714	0.8714285714285714	0.8714285714285714
G4-B1	0.09714285714285714	0.32571428571428573	0.29714285714285715	0.1457142857142857	0.2857142857142857	0.12571428571428572	0.41714285714285715	0.22	0.0	0.3142857142857143	0.30857142857142855	0.12	0.1657142857142857	0.2714285714285714	0.08285714285714285	0.15428571428571428	0.21428571428571427	0.3342857142857143	0.1742857142857143	0.35428571428571426	0.13714285714285715	0.1742857142857143	0.11714285714285715	0.2742857142857143	0.16857142857142857	0.14285714285714285	0.35428571428571426	0.10857142857142857	0.25142857142857145	0.13714285714285715	0.18857142857142858	0.13428571428571429	0.8142857142857143	0.8142857142857143	0.8142857142857143	0.8142857142857143	0.7828571428571428	0.8142857142857143	0.8142857142857143	0.8142857142857143	0.8114285714285714	0.8142857142857143	0.8142857142857143	0.7	0.8142857142857143	0.7285714285714285	0.74	0.8142857142857143	0.8142857142857143	0.8142857142857143
G4-B10	0.3342857142857143	0.10571428571428572	0.3028571428571429	0.32571428571428573	0.44571428571428573	0.3457142857142857	0.4828571428571429	0.3457142857142857	0.3142857142857143	0.0	0.07714285714285714	0.3	0.34	0.3457142857142857	0.32	0.3171428571428571	0.3142857142857143	0.08857142857142856	0.3314285714285714	0.12857142857142856	0.34	0.38571428571428573	0.3314285714285714	0.43142857142857144	0.20285714285714285	0.32571428571428573	0.07714285714285714	0.31142857142857144	0.3342857142857143	0.31142857142857144	0.3342857142857143	0.22285714285714286	0.8457142857142858	0.8457142857142858	0.8457142857142858	0.8428571428571429	0.5371428571428571	0.8457142857142858	0.8457142857142858	0.8428571428571429	0.7657142857142857	0.8457142857142858	0.8457142857142858	0.5428571428571428	0.8457142857142858	0.5371428571428571	0.7571428571428571	0.8457142857142858	0.8457142857142858	0.8457142857142858
