	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-A1	0.0	0.028266093019357973	0.08552110656546331	0.028266093019357973	0.2629347776694843	0.19135545067958998	0.4677105807139935	0.028266093019357973	0.18894535491068631	0.028266093019357973	0.08552110656546331	0.08552110656546331	0.05892046488735514	0.32732856888100176	0.0507221581662414	0.15795372757863343	0.028266093019357973	0.028266093019357973	0.0	0.08552110656546331	0.08552110656546331	0.03618452984229716	0.14407069292122607	0.028266093019357973	0.3348500330045742	0.0507221581662414	0.08552110656546331	0.08552110656546331	0.08552110656546331	0.0507221581662414	0.13346002812872823	0.028266093019357973	0.22909496208268446	0.1784462052080999	0.1784462052080999	0.03591489902911911	0.05854042344919899	0.1784462052080999	0.18061186875879595	0.03591489902911911	0.05854042344919899	0.1784462052080999	0.08609509396719812	0.030576351944187893	0.08609509396719812	0.10739924037044703	0.05854042344919899	0.1784462052080999	0.1784462052080999	0.1784462052080999
G4-A10	0.028266093019357973	0.0	0.06053061817190024	0.0	0.24442802479606796	0.2142126727302775	0.4581864447528878	0.0	0.16662408242309895	0.0	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.346342362124476	0.07898825118559938	0.13681103653914814	0.0	0.0	0.028266093019357973	0.06053061817190024	0.06053061817190024	0.008225591182701112	0.11917315951410457	0.0	0.3217267439683738	0.07898825118559938	0.06053061817190024	0.06053061817190024	0.06053061817190024	0.07898825118559938	0.15795372757863343	0.0	0.25268345959658156	0.15481128761987378	0.15481128761987378	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.15710317576457664	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.11405916547220922	0.05854042344919899	0.11405916547220922	0.08308935026340766	0.031455989483361486	0.15481128761987378	0.15481128761987378	0.15481128761987378
G4-A11	0.08552110656546331	0.06053061817190024	0.0	0.06053061817190024	0.28423583681778447	0.25207900352035734	0.4788412835834882	0.06053061817190024	0.21450747796228176	0.06053061817190024	0.0	0.0	0.026600641678108175	0.37275898333439217	0.1332546915924598	0.1822887211599886	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.0	0.0	0.06810374564698066	0.17249015267111759	0.06053061817190024	0.35012721369380634	0.1332546915924598	0.0	0.0	0.0	0.1332546915924598	0.20128678253446128	0.06053061817190024	0.28979086466409276	0.20544240602943212	0.20544240602943212	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.20746825638144997	0.1184806860313034	0.08947671995814477	0.20544240602943212	0.1657339894229282	0.11345352371385893	0.1657339894229282	0.13525536633349597	0.08947671995814477	0.20544240602943212	0.20544240602943212	0.20544240602943212
G4-A2	0.028266093019357973	0.0	0.06053061817190024	0.0	0.24442802479606796	0.2142126727302775	0.4581864447528878	0.0	0.16662408242309895	0.0	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.346342362124476	0.07898825118559938	0.13681103653914814	0.0	0.0	0.028266093019357973	0.06053061817190024	0.06053061817190024	0.008225591182701112	0.11917315951410457	0.0	0.3217267439683738	0.07898825118559938	0.06053061817190024	0.06053061817190024	0.06053061817190024	0.07898825118559938	0.15795372757863343	0.0	0.25268345959658156	0.15481128761987378	0.15481128761987378	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.15710317576457664	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.11405916547220922	0.05854042344919899	0.11405916547220922	0.08308935026340766	0.031455989483361486	0.15481128761987378	0.15481128761987378	0.15481128761987378
G4-A4	0.2629347776694843	0.24442802479606796	0.28423583681778447	0.24442802479606796	0.0	0.18763643723266524	0.31377228787634726	0.24442802479606796	0.20153400684536452	0.24442802479606796	0.28423583681778447	0.28423583681778447	0.30086533900720497	0.3242349054168801	0.22904935552102704	0.10761698825691983	0.24442802479606796	0.24442802479606796	0.2629347776694843	0.28423583681778447	0.28423583681778447	0.24262826465352444	0.1577908486332496	0.24442802479606796	0.46391975166181193	0.22904935552102704	0.28423583681778447	0.28423583681778447	0.28423583681778447	0.22904935552102704	0.12947474954075605	0.24442802479606796	0.36273976328123037	0.1869439038777178	0.1869439038777178	0.2877381513522123	0.2652233490475222	0.1869439038777178	0.18907189332824437	0.2877381513522123	0.2652233490475222	0.1869439038777178	0.25523256580236464	0.28309483740249036	0.25523256580236464	0.2994093756539223	0.2652233490475222	0.1869439038777178	0.1869439038777178	0.1869439038777178
G4-A5	0.19135545067958998	0.2142126727302775	0.25207900352035734	0.2142126727302775	0.18763643723266524	0.0	0.4026251782839162	0.2142126727302775	0.3374986139873994	0.2142126727302775	0.25207900352035734	0.25207900352035734	0.23032324887831454	0.26459910190403124	0.2323716474104888	0.08966939971150333	0.2142126727302775	0.2142126727302775	0.19135545067958998	0.25207900352035734	0.25207900352035734	0.22021853627916493	0.30785743122715403	0.2142126727302775	0.41914571035248166	0.2323716474104888	0.25207900352035734	0.25207900352035734	0.25207900352035734	0.2323716474104888	0.0668121776608158	0.2142126727302775	0.3562258800763778	0.33429388479724664	0.33429388479724664	0.21880058084967294	0.2371340729004663	0.33429388479724664	0.3357165453649166	0.21880058084967294	0.2371340729004663	0.33429388479724664	0.2594616584858696	0.21447474915944656	0.2594616584858696	0.2695331576588764	0.2371340729004663	0.33429388479724664	0.33429388479724664	0.33429388479724664
G4-A6	0.4677105807139935	0.4581864447528878	0.4788412835834882	0.4581864447528878	0.31377228787634726	0.4026251782839162	0.0	0.4581864447528878	0.43661914177571354	0.4581864447528878	0.4788412835834882	0.4788412835834882	0.4876590175003795	0.47957384139062925	0.45037352665622393	0.36069318746623796	0.4581864447528878	0.4581864447528878	0.4677105807139935	0.4788412835834882	0.4788412835834882	0.4624784222404578	0.4153265444176362	0.4581864447528878	0.18169431262497787	0.45037352665622393	0.4788412835834882	0.4788412835834882	0.4788412835834882	0.45037352665622393	0.37193108460717544	0.4581864447528878	0.5269820177270095	0.4369012125493446	0.4369012125493446	0.4870156613077054	0.47450660522902327	0.4369012125493446	0.43791944858522974	0.4870156613077054	0.47450660522902327	0.4369012125493446	0.470422467087019	0.48368223254953774	0.470422467087019	0.4921718931566636	0.47450660522902327	0.4369012125493446	0.4369012125493446	0.4369012125493446
G4-A7	0.028266093019357973	0.0	0.06053061817190024	0.0	0.24442802479606796	0.2142126727302775	0.4581864447528878	0.0	0.16662408242309895	0.0	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.346342362124476	0.07898825118559938	0.13681103653914814	0.0	0.0	0.028266093019357973	0.06053061817190024	0.06053061817190024	0.008225591182701112	0.11917315951410457	0.0	0.3217267439683738	0.07898825118559938	0.06053061817190024	0.06053061817190024	0.06053061817190024	0.07898825118559938	0.15795372757863343	0.0	0.25268345959658156	0.15481128761987378	0.15481128761987378	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.15710317576457664	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.11405916547220922	0.05854042344919899	0.11405916547220922	0.08308935026340766	0.031455989483361486	0.15481128761987378	0.15481128761987378	0.15481128761987378
G4-B1	0.18894535491068631	0.16662408242309895	0.21450747796228176	0.16662408242309895	0.20153400684536452	0.3374986139873994	0.43661914177571354	0.16662408242309895	0.0	0.16662408242309895	0.21450747796228176	0.21450747796228176	0.23436797141370314	0.3870227201351265	0.1479955530694211	0.2752979559195855	0.16662408242309895	0.16662408242309895	0.18894535491068631	0.21450747796228176	0.21450747796228176	0.17397566262020228	0.06071691261331345	0.16662408242309895	0.4247737512545752	0.1479955530694211	0.21450747796228176	0.21450747796228176	0.21450747796228176	0.1479955530694211	0.2922364792960694	0.16662408242309895	0.3096496879197224	0.09937718383048703	0.09937718383048703	0.2210822858752639	0.19466919946765635	0.09937718383048703	0.10197910837273992	0.2210822858752639	0.19466919946765635	0.09937718383048703	0.18217336656576708	0.21602079274054448	0.18217336656576708	0.1413589108081828	0.19466919946765635	0.09937718383048703	0.09937718383048703	0.09937718383048703
G4-B10	0.028266093019357973	0.0	0.06053061817190024	0.0	0.24442802479606796	0.2142126727302775	0.4581864447528878	0.0	0.16662408242309895	0.0	0.06053061817190024	0.06053061817190024	0.08552110656546331	0.346342362124476	0.07898825118559938	0.13681103653914814	0.0	0.0	0.028266093019357973	0.06053061817190024	0.06053061817190024	0.008225591182701112	0.11917315951410457	0.0	0.3217267439683738	0.07898825118559938	0.06053061817190024	0.06053061817190024	0.06053061817190024	0.07898825118559938	0.15795372757863343	0.0	0.25268345959658156	0.15481128761987378	0.15481128761987378	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.15710317576457664	0.0638789705341302	0.031455989483361486	0.15481128761987378	0.11405916547220922	0.05854042344919899	0.11405916547220922	0.08308935026340766	0.031455989483361486	0.15481128761987378	0.15481128761987378	0.15481128761987378
