# Constructed from biom file
#OTU ID	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J3	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L2	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
016ccb36916408f0233910292d89a572	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	16.0	3.0	0.0	0.0	2.0	1.0	3.0	2.0	1.0	1.0	4.0	326.0	328.0	347.0	320.0	314.0	288.0	278.0	278.0	311.0	276.0	332.0	345.0	334.0	335.0	337.0	341.0	311.0	298.0	319.0	309.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	102.0	95.0	87.0	61.0	82.0	95.0	36.0	96.0	88.0	79.0	90.0	80.0	89.0	83.0	119.0	85.0	80.0	83.0	85.0	78.0	117.0	93.0	116.0	40.0	123.0	64.0	78.0	122.0	69.0	58.0	58.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b96ea9e9b09900ccecf691bbceea9b83	48.0	24.0	27.0	55.0	48.0	53.0	53.0	30.0	64.0	41.0	31.0	79.0	45.0	33.0	34.0	54.0	41.0	31.0	47.0	31.0	46.0	59.0	31.0	61.0	33.0	65.0	26.0	53.0	46.0	78.0	40.0	49.0	17.0	19.0	3.0	17.0	27.0	22.0	50.0	41.0	21.0	42.0	8.0	3.0	13.0	7.0	12.0	2.0	24.0	40.0	21.0	32.0
2dc1dae7438f41afb789fe8a3a433eac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c35bc9806adc8b858466c744cc35b1e5	93.0	73.0	126.0	99.0	83.0	58.0	46.0	106.0	84.0	58.0	77.0	86.0	98.0	46.0	103.0	94.0	143.0	67.0	131.0	55.0	64.0	109.0	88.0	125.0	78.0	94.0	65.0	69.0	75.0	77.0	117.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162bdb2c7b5934c8bfddada185f8a786	27.0	20.0	9.0	30.0	8.0	35.0	8.0	22.0	29.0	33.0	22.0	21.0	19.0	25.0	32.0	36.0	36.0	20.0	11.0	21.0	19.0	23.0	21.0	21.0	42.0	22.0	28.0	29.0	72.0	39.0	35.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fac07b2893c7b432c5c424ca5ea83548	1.0	117.0	53.0	0.0	0.0	1.0	0.0	1.0	1.0	114.0	102.0	3.0	3.0	15.0	0.0	0.0	2.0	111.0	2.0	110.0	1.0	0.0	0.0	2.0	33.0	0.0	122.0	5.0	3.0	0.0	2.0	27.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	9.0	0.0	1.0	0.0	5.0	0.0	4.0	1.0	0.0	0.0	0.0
7b0f05ead6d2e7c841505a2892f761f7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	8.0	5.0	2.0	6.0	23.0	12.0	16.0	7.0	0.0	0.0	1.0	1.0	0.0	3.0	4.0	1.0	1.0
f365eed4b4c884bf45ea125ca3786f2a	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	38.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
