	G4-A1	G4-A10	G4-A11	G4-A2	G4-A4	G4-A5	G4-A6	G4-A7	G4-B1	G4-B10	G4-B11	G4-B2	G4-B3	G4-B4	G4-B5	G4-B6	G4-B7	G4-B9	G4-C1	G4-C10	G4-C2	G4-C3	G4-C4	G4-C5	G4-C9	G4-D1	G4-D10	G4-D2	G4-D3	G4-D4	G4-D5	G4-D9	G4-J1	G4-J2	G4-J3	G4-J4	G4-J5	G4-K1	G4-K2	G4-K3	G4-K4	G4-K5	G4-L1	G4-L2	G4-L3	G4-L4	G4-L5	G4-M1	G4-M2	G4-M3	G4-M4	G4-M5
G4-A1	0.0	0.13026213822040997	0.17641405888599027	0.2339115471577253	0.33092669093941063	0.2356298075091354	0.44978556341271614	0.13026213822040997	0.15245733919788348	0.13026213822040997	0.15245733919788348	0.13026213822040997	0.15245733919788348	0.32101860482962413	0.1503611488081126	0.2339115471577253	0.02529920086858628	0.13026213822040997	0.1049629373518237	0.17641405888599027	0.07702089303701427	0.03239554985277297	0.1289486098059016	0.17130042391071684	0.13724826740167673	0.1289486098059016	0.07702089303701427	0.07702089303701427	0.02529920086858628	0.04539821145628891	0.14338300056450204	0.02529920086858628	0.15989529355336884	0.15989529355336884	0.28669462618309555	0.15989529355336884	0.15989529355336884	0.10115175439133163	0.15989529355336884	0.15989529355336884	0.15989529355336884	0.05245467776259168	0.15989529355336884	0.18065087008495384	0.20074988067265648	0.029769118677855817	0.162266716863001	0.04329503600714407	0.05245467776259168	0.15989529355336884	0.15989529355336884	0.15989529355336884
G4-A10	0.13026213822040997	0.0	0.06053061817190024	0.11917315951410457	0.24442802479606796	0.13681103653914814	0.4272367999581912	0.0	0.08552110656546331	0.0	0.08552110656546331	0.0	0.08552110656546331	0.383267287067794	0.07898825118559938	0.11917315951410457	0.1076873410233781	0.0	0.028266093019357973	0.06053061817190024	0.15619936356630207	0.11476593167244853	0.21402705986805384	0.05387088668054072	0.009224390971110696	0.21402705986805384	0.15619936356630207	0.15619936356630207	0.1076873410233781	0.17566034967669888	0.21824815412767481	0.1076873410233781	0.244933614325855	0.244933614325855	0.3758675103096318	0.244933614325855	0.244933614325855	0.18028301645993383	0.244933614325855	0.244933614325855	0.244933614325855	0.1347316703654365	0.244933614325855	0.2670712969561179	0.3310120188930665	0.1587841069771262	0.2473659855176157	0.12615027360186212	0.1347316703654365	0.244933614325855	0.244933614325855	0.244933614325855
G4-A11	0.17641405888599027	0.06053061817190024	0.0	0.17249015267111759	0.28423583681778447	0.1822887211599886	0.4487020594122082	0.06053061817190024	0.026600641678108175	0.06053061817190024	0.026600641678108175	0.06053061817190024	0.026600641678108175	0.40683748144849585	0.1332546915924598	0.17249015267111759	0.15619936356630207	0.06053061817190024	0.08552110656546331	0.0	0.10183274436069584	0.16278179324232095	0.2567577514101181	0.10823275820658165	0.06867663912442365	0.2567577514101181	0.10183274436069584	0.10183274436069584	0.15619936356630207	0.21940325177983233	0.2557358291455207	0.15619936356630207	0.2856026098150731	0.2856026098150731	0.409799483710475	0.2856026098150731	0.2856026098150731	0.22222882362240529	0.2856026098150731	0.2856026098150731	0.2856026098150731	0.18133630601406633	0.2856026098150731	0.3069181526593635	0.36651131309086044	0.20301763033650697	0.2879039698866162	0.17365852891987288	0.18133630601406633	0.2856026098150731	0.2856026098150731	0.2856026098150731
G4-A2	0.2339115471577253	0.11917315951410457	0.17249015267111759	0.0	0.1577908486332496	0.2396799925724828	0.45037352665622393	0.11917315951410457	0.1945024456050192	0.11917315951410457	0.1945024456050192	0.11917315951410457	0.1945024456050192	0.45676527304363024	0.09833636754299406	0.0	0.21402705986805384	0.11917315951410457	0.14407069292122607	0.17249015267111759	0.2567577514101181	0.22084556496307997	0.12050142911594983	0.16662408242309895	0.12729825066859463	0.12050142911594983	0.2567577514101181	0.2567577514101181	0.21402705986805384	0.1974785067069926	0.3114119915562631	0.21402705986805384	0.15607182648528908	0.15607182648528908	0.30159983289904124	0.15607182648528908	0.15607182648528908	0.2800352632462894	0.15607182648528908	0.15607182648528908	0.15607182648528908	0.24002710975156685	0.15607182648528908	0.37341101580079367	0.3602182701148987	0.261441160392351	0.15879045708005415	0.23248999244653787	0.24002710975156685	0.15607182648528908	0.15607182648528908	0.15607182648528908
G4-A4	0.33092669093941063	0.24442802479606796	0.28423583681778447	0.1577908486332496	0.0	0.10761698825691983	0.35490671976956384	0.24442802479606796	0.30086533900720497	0.24442802479606796	0.30086533900720497	0.24442802479606796	0.30086533900720497	0.3624086739937993	0.22904935552102704	0.1577908486332496	0.31571207312839883	0.24442802479606796	0.2629347776694843	0.28423583681778447	0.34852601985157367	0.3142362200827094	0.24541173464979157	0.27982356174894396	0.25045178738951684	0.24541173464979157	0.34852601985157367	0.34852601985157367	0.31571207312839883	0.3031224806376067	0.19180840327449697	0.31571207312839883	0.27092604792921804	0.27092604792921804	0.3941514414168693	0.27092604792921804	0.27092604792921804	0.36510798007850065	0.27092604792921804	0.27092604792921804	0.27092604792921804	0.3340949955793722	0.27092604792921804	0.452022785449599	0.4419189481542663	0.34744236077508106	0.2692041251205873	0.32829663575409657	0.3340949955793722	0.27092604792921804	0.27092604792921804	0.27092604792921804
G4-A5	0.2356298075091354	0.13681103653914814	0.1822887211599886	0.2396799925724828	0.10761698825691983	0.0	0.3314573038513731	0.13681103653914814	0.20128678253446128	0.13681103653914814	0.20128678253446128	0.13681103653914814	0.20128678253446128	0.28551830591126803	0.20190650508925848	0.2396799925724828	0.21824815412767481	0.13681103653914814	0.15795372757863343	0.1822887211599886	0.2557358291455207	0.22421459068196692	0.3114119915562631	0.17724800066192004	0.14369277058939528	0.3114119915562631	0.2557358291455207	0.2557358291455207	0.21824815412767481	0.27552808163805736	0.09434448427377291	0.21824815412767481	0.33768322906202064	0.33768322906202064	0.453199816257321	0.33768322906202064	0.33768322906202064	0.27629414479492576	0.33768322906202064	0.33768322906202064	0.33768322906202064	0.24101809198299914	0.33768322906202064	0.3578838530045156	0.4120590877273206	0.2598378630203193	0.3398168166034805	0.2344234616034195	0.24101809198299914	0.33768322906202064	0.33768322906202064	0.33768322906202064
G4-A6	0.44978556341271614	0.4272367999581912	0.4487020594122082	0.45037352665622393	0.35490671976956384	0.3314573038513731	0.0	0.4272367999581912	0.4317825804912338	0.4272367999581912	0.4317825804912338	0.4272367999581912	0.4317825804912338	0.4776053430327001	0.39043069548445614	0.45037352665622393	0.46616897800409285	0.4272367999581912	0.4096585465740322	0.4487020594122082	0.48486293637555766	0.47008712680567394	0.4888646528047481	0.44628895883823877	0.4304412845731073	0.4888646528047481	0.48486293637555766	0.48486293637555766	0.46616897800409285	0.4331197036278111	0.3768998589524089	0.46616897800409285	0.5072718719239693	0.5072718719239693	0.5941130279114086	0.5072718719239693	0.5072718719239693	0.49871806058506774	0.5072718719239693	0.5072718719239693	0.5072718719239693	0.48107134011247427	0.5072718719239693	0.5667725827367032	0.5367705667724855	0.4663307483008233	0.5088591465356344	0.4778228333778074	0.48107134011247427	0.5072718719239693	0.5072718719239693	0.5072718719239693
G4-A7	0.13026213822040997	0.0	0.06053061817190024	0.11917315951410457	0.24442802479606796	0.13681103653914814	0.4272367999581912	0.0	0.08552110656546331	0.0	0.08552110656546331	0.0	0.08552110656546331	0.383267287067794	0.07898825118559938	0.11917315951410457	0.1076873410233781	0.0	0.028266093019357973	0.06053061817190024	0.15619936356630207	0.11476593167244853	0.21402705986805384	0.05387088668054072	0.009224390971110696	0.21402705986805384	0.15619936356630207	0.15619936356630207	0.1076873410233781	0.17566034967669888	0.21824815412767481	0.1076873410233781	0.244933614325855	0.244933614325855	0.3758675103096318	0.244933614325855	0.244933614325855	0.18028301645993383	0.244933614325855	0.244933614325855	0.244933614325855	0.1347316703654365	0.244933614325855	0.2670712969561179	0.3310120188930665	0.1587841069771262	0.2473659855176157	0.12615027360186212	0.1347316703654365	0.244933614325855	0.244933614325855	0.244933614325855
G4-B1	0.15245733919788348	0.08552110656546331	0.026600641678108175	0.1945024456050192	0.30086533900720497	0.20128678253446128	0.4317825804912338	0.08552110656546331	0.0	0.08552110656546331	0.0	0.08552110656546331	0.0	0.41689837101700805	0.10665404991435164	0.1945024456050192	0.17641405888599027	0.08552110656546331	0.05892046488735514	0.026600641678108175	0.1233498855370828	0.18279351065353622	0.2745633976199441	0.13078031527292358	0.09324129349319243	0.2745633976199441	0.1233498855370828	0.1233498855370828	0.17641405888599027	0.19544653209172552	0.27150724830791484	0.17641405888599027	0.3025619859493599	0.3025619859493599	0.423938752038999	0.3025619859493599	0.3025619859493599	0.23979120724657588	0.3025619859493599	0.3025619859493599	0.3025619859493599	0.200770903206811	0.3025619859493599	0.32352212019701837	0.3425545934027536	0.17927821531723218	0.3048087130790558	0.19345495990919728	0.200770903206811	0.3025619859493599	0.3025619859493599	0.3025619859493599
G4-B10	0.13026213822040997	0.0	0.06053061817190024	0.11917315951410457	0.24442802479606796	0.13681103653914814	0.4272367999581912	0.0	0.08552110656546331	0.0	0.08552110656546331	0.0	0.08552110656546331	0.383267287067794	0.07898825118559938	0.11917315951410457	0.1076873410233781	0.0	0.028266093019357973	0.06053061817190024	0.15619936356630207	0.11476593167244853	0.21402705986805384	0.05387088668054072	0.009224390971110696	0.21402705986805384	0.15619936356630207	0.15619936356630207	0.1076873410233781	0.17566034967669888	0.21824815412767481	0.1076873410233781	0.244933614325855	0.244933614325855	0.3758675103096318	0.244933614325855	0.244933614325855	0.18028301645993383	0.244933614325855	0.244933614325855	0.244933614325855	0.1347316703654365	0.244933614325855	0.2670712969561179	0.3310120188930665	0.1587841069771262	0.2473659855176157	0.12615027360186212	0.1347316703654365	0.244933614325855	0.244933614325855	0.244933614325855
